"clbid","credits","crsid","department","enrolled","instructors","learningmode","level","max","name","number","offerings","pn","prerequisites","section","semester","status","term","type","year"
"0000025069","1.0","0000000196","CHEM","16","Wesley Pearson","S","200","999","Organic Chemistry","247","{'day': 'Mo', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'SC 378', 'start': '08:00'}","False","False","","4","O","19984","Research","1998"
"0000025070","0.25","0000000199","CHEM","12","Wesley Pearson","S","200","999","Synthesis Lab","253","{'day': 'Mo', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'};{'day': 'Tu', 'end': '16:00', 'location': 'SC 311', 'start': '13:00'}","True","False","","4","O","19984","Lab","1998"
"0000025071","0.0","0000000341","EDUC","1","Staff","S","300","1","Human Relations","382","","True","False","","4","O","19984","Research","1998"
"0000025072","1.0","0000000411","ENGL","12","Joseph L. Mbele","S","200","999","Post-Colonial Lit","247","{'day': 'Mo', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 520', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 520', 'start': '10:00'}","False","False","","4","O","19984","Research","1998"
"0000025073","1.0","0000000418","ENGL","8","Staff","S","200","999","Creative Writing I","257","","False","False","","4","O","19984","Research","1998"
"0000025074","1.0","0000000438","ENGL","5","Joseph L. Mbele","S","300","999","Post-Col/3rd Wld Lit","347","{'day': 'Mo', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 520', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 520', 'start': '12:30'}","False","False","","4","O","19984","Topic","1998"
"0000025075","1.0","0000001728","ENVST","9","Staff","S","100","999","Minn Natural History","150","","False","False","","4","O","19984","Research","1998"
"0000025076","1.0","0000000459","ENVST","8","Staff","S","200","999","Enviro Policy/Regulat","232","","False","False","","4","O","19984","Research","1998"
"0000025077","1.0","0000001729","ENVST","11","Staff","S","200","999","Intro: Enviro Studies","237","","False","False","","4","O","19984","Research","1998"
"0000025078","1.0","0000000465","ENVST","1","Gary Deason","S","200","999","IS/Trail Erosion Stdy","298","","False","False","","4","O","19984","Research","1998"
"0000025079","1.0","0000000508","GERM","1","Lavern Rippley","S","200","999","Intermed German I","231","","False","False","","4","O","19984","Research","1998"
"0000025080","1.0","0000001820","HIST","6","Staff","S","200","15","U.S. Since 1865","206","{'day': 'Mo', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 420', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 420', 'start': '12:30'}","False","False","","4","O","19984","Research","1998"
"0000025081","1.0","0000000617","HIST","6","Gary Deason","S","200","999","Amer Environmental","246","","False","False","","4","O","19984","Research","1998"
"0000025082","1.0","0000000649","FAMST","6","C. George Holt","S","200","999","Family Relationships","242","{'day': 'Mo', 'end': '11:30', 'location': 'H 209', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'H 209', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'H 209', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'H 209', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'H 209', 'start': '10:00'}","False","False","","4","O","19984","Research","1998"
"0000025083","1.0","0000000651","FAMST","7","C. George Holt","S","200","999","Human Sexuality","253","{'day': 'Mo', 'end': '09:30', 'location': 'H 209', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'H 209', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'H 209', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'H 209', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'H 209', 'start': '08:00'}","False","False","","4","O","19984","Research","1998"
"0000025084","1.0","0000000745","MATH","6","Christopher Schwartz","S","200","999","Elem Real Analysis","244","{'day': 'Mo', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 184', 'start': '10:00'}","False","False","","4","O","19984","Research","1998"
"0000025085","1.0","0000000803","MUSIC","6","Charles Forsberg","S","100","999","The Music Spectrum","130","{'day': 'Mo', 'end': '14:00', 'location': 'CHM 222/224', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'CHM 222/224', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'CHM 222/224', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'CHM 222/224', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'CHM 222/224', 'start': '12:30'}","False","False","","4","O","19984","Research","1998"
"0000025086","0.25","0000001960","MUSIC","1","Staff","S","100","999","Basic Instr Technique","165","","False","False","","4","C","19984","Research","1998"
"0000025087","1.0","0000000821","MUSIC","2","Charles Forsberg","S","200","999","Counterpoint","222","","False","False","","4","O","19984","Research","1998"
"0000025088","1.0","0000000822","MUSIC","1","Charles Forsberg","S","200","999","Composition I","223","{'day': 'Mo', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'CHM 232', 'start': '08:00'}","False","False","","4","O","19984","Research","1998"
"0000025089","1.0","0000000851","MUSIC","1","Charles Forsberg","S","300","999","Composition II","324","{'day': 'Mo', 'end': '11:30', 'location': 'CHM 239', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'CHM 239', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'CHM 239', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'CHM 239', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'CHM 239', 'start': '10:00'}","False","False","","4","O","19984","Research","1998"
"0000025090","1.0","0000000973","PHIL","6","John Poling","S","200","999","Phil. Theology","241","{'day': 'Mo', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'L 421', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'L 421', 'start': '10:00'}","False","False","","4","O","19984","Research","1998"
"0000025091","1.0","0000000979","PHIL","20","John Poling","S","200","999","Ethics/The Good Life","252","{'day': 'Mo', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'L 421', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'L 421', 'start': '08:00'}","False","False","","4","O","19984","Research","1998"
"0000025092","1.0","0000000982","PHIL","9","Rick A. Fairbanks","S","200","999","Top: Environ Ethics","257","","False","False","","4","O","19984","Research","1998"
"0000025093","0.25","0000000995","PEAC","12","Staff","S","100","999","Individualized Phy Ed","100","","True","False","A","4","O","19984","Research","1998"
"0000025094","0.25","0000000995","PEAC","5","Staff","S","100","999","Individualized Phy Ed","100","","True","False","B","4","O","19984","Research","1998"
"0000025095","0.25","0000001007","PEAC","4","Gary Deason","S","100","999","Canoeing","125","","False","False","","4","O","19984","Research","1998"
"0000025096","0.25","0000002185","PEAC","7","Christine Daymont","S","100","999","Individual Fitness","132","{'day': 'Mo', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'Tu', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'We', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'Th', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'Fr', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'}","False","False","","4","O","19984","Research","1998"
"0000025097","0.25","0000001016","PEAC","6","Christine Daymont","S","100","999","Wt Training Co-Ed .25","140","{'day': 'Mo', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'Tu', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'We', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'Th', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'};{'day': 'Fr', 'end': '16:00', 'location': '6/01 SKOGLND', 'start': '15:00'}","False","False","","4","O","19984","Research","1998"
"0000025098","1.0","0000001072","PHYS","6","David Nitz","S","100","999","Principles Physics I","124","{'day': 'Mo', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'SC 170', 'start': '10:00'};{'day': 'We', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'};{'day': 'Fr', 'end': '15:30', 'location': 'SC 111', 'start': '13:00'}","False","False","","4","O","19984","Research","1998"
"0000025099","1.0","0000001154","PSYCH","4","Staff","S","100","999","Principles: Psych","121","{'day': 'Mo', 'end': '09:30', 'location': 'H 204', 'start': '08:00'};{'day': 'Tu', 'end': '09:30', 'location': 'H 204', 'start': '08:00'};{'day': 'We', 'end': '09:30', 'location': 'H 204', 'start': '08:00'};{'day': 'Th', 'end': '09:30', 'location': 'H 204', 'start': '08:00'};{'day': 'Fr', 'end': '09:30', 'location': 'H 204', 'start': '08:00'}","False","False","","4","O","19984","Research","1998"
"0000025100","1.0","0000001165","PSYCH","15","Staff","S","200","999","Biopsychology","238","{'day': 'Mo', 'end': '11:30', 'location': 'H 204', 'start': '10:00'};{'day': 'Tu', 'end': '11:30', 'location': 'H 204', 'start': '10:00'};{'day': 'We', 'end': '11:30', 'location': 'H 204', 'start': '10:00'};{'day': 'Th', 'end': '11:30', 'location': 'H 204', 'start': '10:00'};{'day': 'Fr', 'end': '11:30', 'location': 'H 204', 'start': '10:00'}","False","False","","4","O","19984","Research","1998"
"0000025101","1.0","0000001205","REL","10","James Hanson","S","200","999","Jesus in Script/Trad","221","{'day': 'Mo', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'Tu', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'We', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'Th', 'end': '14:00', 'location': 'L 577', 'start': '12:30'};{'day': 'Fr', 'end': '14:00', 'location': 'L 577', 'start': '12:30'}","False","False","","4","O","19984","Research","1998"

